,FIPStxt,Stabr,area_name,Unemployment_rate_2019,Median_Household_Income_2018,Government,POP_ESTIMATE_2019,amount_land,latitude,longitude
0,1001,AL,"Autauga County, AL",2.7,"59,338",GOP,"55,869",48112781.71875,32.501547171874996,-86.515629071875
1,1003,AL,"Baldwin County, AL",2.7,"57,588",GOP,"223,234",43804085.30851064,30.55207825531916,-87.75445620106379
2,1005,AL,"Barbour County, AL",3.8,"34,382",GOP,"24,686",99644290.43478261,31.85518395652173,-85.3176963347826
3,1007,AL,"Bibb County, AL",3.1,"46,064",GOP,"22,394",107498770.6,33.017042393333334,-87.13909256000001
4,1009,AL,"Blount County, AL",2.7,"50,412",GOP,"57,826",47715482.14285714,33.97344862285714,-86.57448996285713
5,1011,AL,"Bullock County, AL",3.6,"29,267",DEM,"10,101",230437019.42857143,32.10317082857143,-85.71256724285715
6,1013,AL,"Butler County, AL",3.6,"37,365",GOP,"19,448",105893485.89473684,31.78289186315789,-86.65884193684211
7,1015,AL,"Calhoun County, AL",3.5,"45,400",GOP,"113,605",17244455.153846152,33.72728555824177,-85.81745872747253
8,1017,AL,"Chambers County, AL",2.9,"39,917",GOP,"33,254",46818458.21212121,32.857485096969704,-85.2640105181818
9,1019,AL,"Cherokee County, AL",2.9,"42,132",GOP,"26,196",75480422.68421052,34.17328972105263,-85.62721218421053
10,1021,AL,"Chilton County, AL",2.7,"47,547",GOP,"44,428",59816096.53333333,32.86581977666666,-86.68390162333336
11,1023,AL,"Choctaw County, AL",4.7,"39,907",GOP,"12,589",157730337.13333333,32.03663562,-88.26207564666667
12,1025,AL,"Clarke County, AL",5.8,"40,741",GOP,"23,622",133650389.0,31.707289233333338,-87.81530270416665
13,1027,AL,"Clay County, AL",3.0,"39,201",GOP,"13,235",120327111.92307693,33.26047195384616,-85.83474376153846
14,1029,AL,"Cleburne County, AL",3.2,"46,495",GOP,"14,910",131878540.0909091,33.631881936363634,-85.51437659090908
15,1031,AL,"Coffee County, AL",2.9,"55,122",GOP,"52,342",53289863.24242424,31.364795448484845,-85.94132863636364
16,1033,AL,"Colbert County, AL",3.7,"49,055",GOP,"55,241",33366924.217391305,34.723099573913046,-87.69881410217391
17,1035,AL,"Conecuh County, AL",4.0,"32,613",GOP,"12,067",183491338.16666666,31.42581985,-87.01310766666666
18,1037,AL,"Coosa County, AL",3.0,"42,423",GOP,"10,663",153262866.1818182,32.9598066,-86.16512089090911
