,country,state,county,city,google,apple
0,US,N/A,,N/A,1,0
1,US,Alabama,Autauga County,N/A,1,0
2,US,Alabama,Baldwin County,N/A,1,0
3,US,Alabama,Barbour County,N/A,1,0
4,US,Alabama,Bibb County,N/A,1,0
5,US,Alabama,Blount County,N/A,1,0
6,US,Alabama,Bullock County,N/A,1,0
7,US,Alabama,Butler County,N/A,1,0
8,US,Alabama,Calhoun County,N/A,1,0
9,US,Alabama,Chambers County,N/A,1,0
10,US,Alabama,Cherokee County,N/A,1,0
11,US,Alabama,Chilton County,N/A,1,0
12,US,Alabama,Choctaw County,N/A,1,0
13,US,Alabama,Clarke County,N/A,1,0
14,US,Alabama,Clay County,N/A,1,0
15,US,Alabama,Cleburne County,N/A,1,0
16,US,Alabama,Coffee County,N/A,1,0
17,US,Alabama,Colbert County,N/A,1,0
18,US,Alabama,Conecuh County,N/A,1,0
19,US,Alabama,Coosa County,N/A,1,0
20,US,Alabama,Covington County,N/A,1,0
21,US,Alabama,Crenshaw County,N/A,1,0
22,US,Alabama,Cullman County,N/A,1,0
23,US,Alabama,Dale County,N/A,1,0
24,US,Alabama,Dallas County,Dallas,1,1
25,US,Alabama,DeKalb County,N/A,1,0
26,US,Alabama,Elmore County,N/A,1,0
27,US,Alabama,Escambia County,N/A,1,0
28,US,Alabama,Etowah County,N/A,1,0
29,US,Alabama,Fayette County,Lexington,1,1
30,US,Alabama,Franklin County,Columbus,1,1
31,US,Alabama,Geneva County,N/A,1,0
32,US,Alabama,Greene County,N/A,1,0
33,US,Alabama,Hale County,N/A,1,0
34,US,Alabama,Henry County,N/A,1,0
35,US,Alabama,Houston County,N/A,1,0
36,US,Alabama,Jackson County,Kansas City,1,1
37,US,Alabama,Jefferson County,Louisville,1,1
38,US,Alabama,Lamar County,N/A,1,0
39,US,Alabama,Lauderdale County,N/A,1,0
40,US,Alabama,Lawrence County,N/A,1,0
41,US,Alabama,Lee County,N/A,1,0
42,US,Alabama,Limestone County,N/A,1,0
43,US,Alabama,Lowndes County,N/A,1,0
44,US,Alabama,Macon County,N/A,1,0
45,US,Alabama,Madison County,N/A,1,0
46,US,Alabama,Marengo County,N/A,1,0
47,US,Alabama,Marion County,Indianapolis,1,1
48,US,Alabama,Marshall County,N/A,1,0
49,US,Alabama,Mobile County,N/A,1,0
50,US,Alabama,Monroe County,Rochester,1,1
51,US,Alabama,Montgomery County,N/A,1,0
52,US,Alabama,Morgan County,N/A,1,0
53,US,Alabama,Perry County,N/A,1,0
54,US,Alabama,Pickens County,N/A,1,0
55,US,Alabama,Pike County,N/A,1,0
56,US,Alabama,Randolph County,N/A,1,0
57,US,Alabama,Russell County,N/A,1,0
58,US,Alabama,Shelby County,Memphis,1,1
59,US,Alabama,St. Clair County,N/A,1,0
60,US,Alabama,Sumter County,N/A,1,0
61,US,Alabama,Talladega County,N/A,1,0
62,US,Alabama,Tallapoosa County,N/A,1,0
63,US,Alabama,Tuscaloosa County,N/A,1,0
64,US,Alabama,Walker County,N/A,1,0
65,US,Alabama,Washington County,N/A,1,0
66,US,Alabama,Wilcox County,N/A,1,0
67,US,Alabama,Winston County,N/A,1,0
68,US,Alaska,Anchorage,N/A,1,0
69,US,Alaska,Bethel,N/A,1,0
70,US,Alaska,Fairbanks North Star,N/A,1,0
71,US,Alaska,Juneau,N/A,1,0
72,US,Alaska,Kenai Peninsula Borough,N/A,1,0
73,US,Alaska,Ketchikan Gateway,N/A,1,0
74,US,Alaska,Kodiak Island,N/A,1,0
75,US,Alaska,Matanuska-Susitna,N/A,1,0
76,US,Alaska,North Slope,N/A,1,0
77,US,Alaska,Sitka,N/A,1,0
78,US,Alaska,Southeast Fairbanks,N/A,1,0
