,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
0,state,county,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20
1,Washington,Franklin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.0,-2.0,,,,,,,,,,,,,,-16.0,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,
2,Washington,Jefferson,54.0,85.0,114.0,94.0,96.0,,60.0,63.0,18.0,24.0,41.0,48.0,56.0,29.0,56.0,58.0,3.0,26.0,48.0,29.0,35.0,28.0,61.0,56.0,47.0,62.0,56.0,20.0,47.0,93.0,62.0,65.0,94.0,94.0,98.0,142.0,75.0,21.0,-5.0,3.0,-15.0,-31.0,-34.0,-9.0,-25.0,-12.0,-4.0,-21.0,-26.0,-7.0,-13.0,4.0,-2.0,12.0,21.0,-13.0,-8.0,-15.0,-1.0,2.0,0.0,20.0,-19.0,-15.0,-7.0,9.0,-20.0,-34.0,-19.0,-12.0,-17.0,-6.0
3,Washington,Benton,-4.0,52.0,102.0,46.0,57.0,58.0,33.0,108.0,-18.0,18.0,54.0,78.0,96.0,45.0,42.0,73.0,15.0,55.0,76.0,75.0,30.0,41.0,66.0,57.0,52.0,84.0,102.0,-15.0,-39.0,-30.0,39.0,91.0,111.0,145.0,80.0,105.0,70.0,19.0,44.0,14.0,51.0,11.0,7.0,3.0,-6.0,36.0,21.0,78.0,13.0,25.0,14.0,62.0,103.0,96.0,147.0,80.0,24.0,22.0,65.0,102.0,49.0,129.0,71.0,80.0,73.0,115.0,109.0,41.0,99.0,68.0,54.0,81.0
4,Washington,Clark,-18.0,36.0,98.0,50.0,74.0,58.0,55.0,97.0,0.0,30.0,52.0,68.0,94.0,37.0,0.0,22.0,10.0,48.0,90.0,52.0,-12.0,9.0,52.0,106.0,103.0,73.0,68.0,-16.0,-13.0,20.0,109.0,95.0,126.0,125.0,97.0,123.0,80.0,26.0,-12.0,29.0,17.0,-32.0,-14.0,-3.0,7.0,13.0,23.0,9.0,-2.0,29.0,46.0,67.0,56.0,93.0,82.0,52.0,53.0,44.0,90.0,74.0,61.0,78.0,74.0,-12.0,43.0,113.0,34.0,1.0,41.0,14.0,54.0,65.0
5,Washington,Grant,18.0,,41.0,39.0,28.0,36.0,25.0,43.0,3.0,24.0,39.0,40.0,52.0,43.0,39.0,,32.0,55.0,47.0,51.0,57.0,67.0,,56.0,54.0,47.0,74.0,-4.0,-15.0,19.0,32.0,55.0,68.0,,93.0,,,39.0,21.0,-2.0,2.0,-15.0,0.0,10.0,-10.0,7.0,-5.0,2.0,-12.0,12.0,17.0,15.0,16.0,15.0,41.0,18.0,-1.0,17.0,6.0,15.0,-3.0,21.0,35.0,27.0,55.0,35.0,29.0,-3.0,8.0,28.0,44.0,79.0
6,Washington,Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Washington,Douglas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Washington,Pierce,-9.0,19.0,87.0,56.0,54.0,71.0,63.0,35.0,-32.0,27.0,46.0,38.0,81.0,27.0,20.0,33.0,0.0,23.0,57.0,30.0,4.0,13.0,34.0,65.0,48.0,32.0,59.0,-19.0,-7.0,21.0,57.0,63.0,85.0,99.0,92.0,58.0,35.0,-13.0,-8.0,-8.0,-18.0,-23.0,-32.0,-17.0,-29.0,2.0,19.0,0.0,-11.0,-5.0,-11.0,31.0,30.0,43.0,58.0,39.0,-2.0,10.0,33.0,45.0,30.0,63.0,47.0,-24.0,19.0,45.0,18.0,-29.0,15.0,20.0,3.0,20.0
9,Washington,Mason,15.0,56.0,,,39.0,,51.0,48.0,-9.0,,,30.0,,28.0,45.0,77.0,,,46.0,,28.0,32.0,67.0,,,32.0,,16.0,26.0,90.0,,,,,,148.0,99.0,20.0,-2.0,9.0,-8.0,-16.0,-27.0,1.0,-28.0,4.0,2.0,20.0,-3.0,1.0,-3.0,24.0,,40.0,,20.0,15.0,28.0,,,16.0,,44.0,0.0,33.0,,9.0,-30.0,18.0,22.0,10.0,21.0
10,Washington,Stevens,,,,,8.0,12.0,,,,,0.0,-4.0,6.0,,,,,,12.0,0.0,17.0,,,,,20.0,,,,,,,,,,,,,,-6.0,-10.0,0.0,,,,-16.0,0.0,6.0,-2.0,,,,,18.0,,,,,,,7.0,,,,,,,3.0,5.0,,,
11,Washington,Lewis,-2.0,23.0,71.0,51.0,46.0,45.0,59.0,21.0,-2.0,16.0,19.0,46.0,62.0,38.0,11.0,30.0,14.0,16.0,57.0,43.0,24.0,-4.0,31.0,57.0,49.0,55.0,48.0,-20.0,-32.0,1.0,43.0,40.0,45.0,64.0,71.0,36.0,21.0,-6.0,-28.0,-11.0,-28.0,-24.0,-47.0,-37.0,-21.0,-25.0,14.0,-7.0,-14.0,-24.0,-10.0,22.0,21.0,46.0,49.0,26.0,-11.0,-3.0,37.0,26.0,31.0,47.0,42.0,-25.0,-2.0,41.0,8.0,-16.0,12.0,15.0,-16.0,6.0
12,Washington,Thurston,-13.0,8.0,102.0,45.0,51.0,51.0,55.0,35.0,-25.0,33.0,36.0,46.0,65.0,11.0,18.0,22.0,-1.0,6.0,57.0,12.0,3.0,0.0,48.0,72.0,40.0,55.0,39.0,-29.0,-21.0,17.0,75.0,48.0,68.0,72.0,70.0,44.0,19.0,-21.0,-25.0,-14.0,-30.0,-36.0,-46.0,-32.0,-34.0,-27.0,5.0,-16.0,-31.0,-17.0,-19.0,23.0,11.0,24.0,31.0,14.0,-17.0,-12.0,24.0,25.0,20.0,30.0,17.0,-25.0,-9.0,23.0,0.0,-31.0,10.0,-6.0,-15.0,-8.0
13,Washington,San Juan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Washington,Asotin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Washington,Chelan,14.0,53.0,97.0,50.0,40.0,37.0,33.0,29.0,-23.0,19.0,30.0,38.0,48.0,30.0,6.0,29.0,21.0,42.0,28.0,35.0,18.0,-2.0,20.0,27.0,31.0,40.0,48.0,-21.0,-31.0,-7.0,24.0,55.0,80.0,72.0,50.0,25.0,17.0,27.0,17.0,40.0,18.0,-1.0,-26.0,-15.0,4.0,28.0,32.0,22.0,-6.0,-24.0,-20.0,40.0,44.0,59.0,65.0,21.0,-21.0,-4.0,30.0,42.0,44.0,54.0,31.0,-11.0,28.0,64.0,63.0,11.0,53.0,35.0,-11.0,34.0
16,Washington,Clallam,49.0,61.0,,47.0,70.0,46.0,39.0,64.0,-8.0,18.0,28.0,44.0,43.0,18.0,56.0,37.0,13.0,19.0,50.0,10.0,30.0,56.0,49.0,54.0,39.0,53.0,36.0,9.0,32.0,80.0,67.0,64.0,85.0,81.0,87.0,138.0,31.0,13.0,5.0,29.0,-12.0,-14.0,-27.0,-20.0,-19.0,-3.0,12.0,-12.0,-10.0,-20.0,-19.0,24.0,31.0,38.0,39.0,1.0,3.0,5.0,10.0,8.0,38.0,28.0,-6.0,-7.0,-8.0,18.0,-3.0,-29.0,2.0,-1.0,-10.0,-6.0
17,Washington,Cowlitz,-7.0,11.0,50.0,46.0,69.0,66.0,52.0,66.0,-22.0,31.0,29.0,,86.0,26.0,0.0,23.0,4.0,24.0,81.0,47.0,-2.0,3.0,36.0,78.0,67.0,76.0,59.0,-10.0,-4.0,33.0,78.0,71.0,106.0,134.0,110.0,118.0,56.0,14.0,-8.0,-1.0,-7.0,-27.0,-13.0,-23.0,4.0,0.0,22.0,23.0,8.0,10.0,6.0,46.0,37.0,71.0,97.0,38.0,28.0,23.0,74.0,55.0,52.0,83.0,78.0,-7.0,10.0,78.0,34.0,-2.0,40.0,17.0,46.0,43.0
18,Washington,Grays Harbor,30.0,57.0,91.0,56.0,66.0,71.0,73.0,81.0,9.0,30.0,24.0,34.0,36.0,13.0,29.0,52.0,1.0,1.0,53.0,-5.0,42.0,85.0,109.0,91.0,48.0,57.0,45.0,15.0,37.0,85.0,57.0,51.0,86.0,78.0,100.0,126.0,55.0,-17.0,-16.0,5.0,-28.0,-42.0,-56.0,-16.0,-35.0,-16.0,-4.0,-15.0,-20.0,-17.0,-5.0,17.0,2.0,26.0,17.0,-15.0,-9.0,17.0,10.0,-3.0,14.0,20.0,12.0,-12.0,17.0,22.0,-6.0,-31.0,-10.0,-16.0,-7.0,21.0
19,Washington,Island,50.0,59.0,107.0,,,,66.0,104.0,23.0,-7.0,37.0,,50.0,19.0,64.0,27.0,-16.0,9.0,,14.0,39.0,54.0,70.0,57.0,30.0,,36.0,9.0,36.0,96.0,49.0,,,,95.0,122.0,47.0,0.0,13.0,,-7.0,-24.0,-41.0,-12.0,-19.0,15.0,29.0,-7.0,-22.0,-3.0,-17.0,22.0,39.0,,64.0,14.0,9.0,16.0,15.0,50.0,,62.0,24.0,20.0,17.0,26.0,17.0,-25.0,22.0,6.0,19.0,13.0
20,Washington,King,11.0,19.0,64.0,51.0,62.0,53.0,51.0,34.0,0.0,16.0,37.0,45.0,57.0,21.0,33.0,35.0,-12.0,15.0,52.0,14.0,-5.0,13.0,33.0,47.0,25.0,33.0,30.0,-30.0,12.0,42.0,43.0,54.0,89.0,81.0,75.0,56.0,20.0,-9.0,-8.0,5.0,-23.0,-25.0,-30.0,0.0,-33.0,-6.0,21.0,-5.0,-18.0,7.0,-10.0,26.0,35.0,49.0,43.0,29.0,-5.0,4.0,12.0,32.0,29.0,35.0,16.0,-20.0,20.0,27.0,-3.0,-36.0,-17.0,5.0,6.0,8.0
21,Washington,Kitsap,-14.0,50.0,74.0,53.0,58.0,63.0,51.0,17.0,32.0,19.0,37.0,55.0,58.0,23.0,11.0,45.0,1.0,27.0,53.0,27.0,26.0,7.0,50.0,56.0,32.0,39.0,36.0,-1.0,4.0,69.0,57.0,69.0,101.0,88.0,100.0,52.0,45.0,34.0,9.0,3.0,-10.0,-16.0,-42.0,12.0,-14.0,1.0,21.0,-4.0,-4.0,-13.0,2.0,20.0,28.0,31.0,36.0,30.0,-10.0,8.0,20.0,41.0,38.0,48.0,33.0,-21.0,28.0,26.0,8.0,-32.0,-8.0,10.0,-8.0,17.0
22,Washington,Kittitas,9.0,19.0,70.0,36.0,9.0,29.0,10.0,21.0,-16.0,-1.0,18.0,2.0,28.0,3.0,1.0,7.0,-17.0,18.0,5.0,28.0,9.0,11.0,10.0,9.0,33.0,-5.0,32.0,-19.0,-27.0,-5.0,11.0,42.0,30.0,54.0,17.0,38.0,1.0,-11.0,4.0,-12.0,-8.0,-22.0,-35.0,-43.0,-8.0,4.0,-9.0,-1.0,-22.0,-28.0,-41.0,-11.0,14.0,7.0,41.0,-7.0,-26.0,-29.0,-7.0,18.0,-5.0,30.0,7.0,-17.0,-11.0,10.0,20.0,-22.0,18.0,11.0,-15.0,-9.0
23,Washington,Klickitat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Washington,Okanogan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Washington,Pacific,4.0,94.0,,,,,,111.0,14.0,25.0,21.0,,34.0,21.0,16.0,48.0,-11.0,13.0,,5.0,,135.0,,,,,48.0,29.0,23.0,87.0,,,,,,124.0,31.0,2.0,-6.0,0.0,-25.0,-45.0,-64.0,-27.0,-45.0,-9.0,6.0,-16.0,-11.0,-31.0,-11.0,13.0,11.0,26.0,9.0,-8.0,-26.0,-16.0,22.0,3.0,24.0,28.0,19.0,-32.0,-2.0,14.0,5.0,-11.0,-8.0,-13.0,-19.0,1.0
26,Washington,Skagit,9.0,31.0,45.0,60.0,66.0,49.0,38.0,20.0,-3.0,9.0,31.0,50.0,41.0,30.0,45.0,31.0,-7.0,31.0,60.0,11.0,39.0,27.0,65.0,41.0,46.0,66.0,42.0,15.0,23.0,102.0,46.0,73.0,112.0,100.0,109.0,120.0,77.0,-4.0,6.0,30.0,-14.0,-21.0,-28.0,0.0,-19.0,3.0,31.0,-1.0,-13.0,16.0,4.0,27.0,40.0,63.0,54.0,35.0,28.0,43.0,18.0,51.0,48.0,66.0,37.0,33.0,66.0,34.0,20.0,-21.0,14.0,42.0,10.0,44.0
27,Washington,Skamania,-50.0,-24.0,-15.0,-44.0,-37.0,-48.0,-31.0,2.0,-51.0,-59.0,-47.0,-43.0,-29.0,-38.0,-46.0,-10.0,-61.0,-61.0,-41.0,-39.0,-57.0,-40.0,-4.0,-31.0,-32.0,-41.0,-36.0,-62.0,-52.0,-17.0,-46.0,-23.0,-12.0,4.0,31.0,84.0,49.0,-52.0,-70.0,-53.0,-52.0,-74.0,-64.0,-57.0,-70.0,-60.0,-55.0,-57.0,-57.0,-42.0,-43.0,-52.0,-42.0,-20.0,-16.0,-34.0,-38.0,-26.0,-48.0,-47.0,-50.0,-31.0,-13.0,-50.0,-21.0,-22.0,-46.0,-57.0,-42.0,-48.0,-40.0,-11.0
