,state,county,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20
1,Washington,Franklin,-1.0,-2.0,7.0,-1.0,-2.0,-1.0,-2.0,-2.0,-1.0,-2.0,-2.0,-3.0,-3.0,-3.0,-3.0,-3.0,-2.0,-2.0,-3.0,-3.0,-3.0,-2.0,-2.0,0.0,-2.0,-1.0,-2.0,0.0,5.0,4.0,2.0,8.0,8.0,9.0,10.0,6.0,,12.0,13.0,15.0,17.0,17.0,12.0,,16.0,17.0,16.0,17.0,17.0,12.0,,15.0,16.0,16.0,16.0,17.0,11.0,,15.0,16.0,15.0,15.0,15.0,9.0,,13.0,14.0,16.0,14.0,14.0,9.0,
2,Washington,Jefferson,,,,-1.0,-1.0,-2.0,,,,,0.0,-2.0,-2.0,,,,,1.0,-1.0,0.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Washington,Benton,-1.0,-2.0,7.0,-1.0,-1.0,-1.0,-1.0,-2.0,-1.0,0.0,-2.0,-2.0,-2.0,-3.0,-2.0,-3.0,-1.0,-2.0,-1.0,-1.0,0.0,-1.0,-2.0,-1.0,-1.0,-1.0,0.0,2.0,5.0,4.0,4.0,8.0,10.0,12.0,12.0,7.0,7.0,15.0,16.0,18.0,20.0,20.0,12.0,10.0,19.0,19.0,19.0,20.0,19.0,12.0,10.0,18.0,18.0,19.0,19.0,18.0,11.0,9.0,18.0,18.0,18.0,18.0,17.0,10.0,7.0,16.0,16.0,18.0,18.0,16.0,10.0,7.0
4,Washington,Clark,0.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,5.0,6.0,10.0,12.0,12.0,13.0,9.0,9.0,14.0,18.0,19.0,20.0,22.0,15.0,13.0,19.0,20.0,20.0,21.0,21.0,14.0,12.0,18.0,19.0,19.0,19.0,20.0,13.0,11.0,17.0,18.0,18.0,18.0,18.0,13.0,11.0,16.0,18.0,20.0,19.0,19.0,12.0,10.0
5,Washington,Grant,-1.0,-3.0,5.0,0.0,-2.0,-2.0,-3.0,-2.0,-1.0,-1.0,-1.0,-3.0,-3.0,-4.0,-3.0,-4.0,-2.0,-2.0,-3.0,-3.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-3.0,2.0,4.0,3.0,1.0,5.0,6.0,6.0,7.0,4.0,5.0,9.0,10.0,12.0,12.0,13.0,9.0,8.0,12.0,13.0,12.0,12.0,13.0,9.0,,11.0,11.0,11.0,11.0,12.0,9.0,6.0,11.0,11.0,11.0,10.0,10.0,6.0,4.0,8.0,10.0,12.0,10.0,9.0,6.0,4.0
6,Washington,Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Washington,Douglas,,,5.0,-1.0,0.0,-1.0,0.0,,,0.0,-1.0,-1.0,-1.0,-1.0,,,-2.0,-1.0,-1.0,-1.0,1.0,,,-1.0,0.0,0.0,-1.0,6.0,,,1.0,6.0,9.0,8.0,11.0,,,9.0,12.0,14.0,15.0,17.0,,,14.0,14.0,16.0,16.0,18.0,,,13.0,15.0,15.0,14.0,17.0,,,11.0,14.0,14.0,13.0,14.0,,,10.0,12.0,14.0,13.0,15.0,,
8,Washington,Pierce,0.0,-1.0,6.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-2.0,-2.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,2.0,6.0,5.0,4.0,7.0,11.0,12.0,13.0,14.0,10.0,9.0,15.0,18.0,19.0,22.0,23.0,16.0,12.0,20.0,22.0,21.0,22.0,23.0,14.0,12.0,19.0,21.0,20.0,20.0,21.0,13.0,11.0,19.0,20.0,19.0,20.0,20.0,14.0,10.0,17.0,20.0,20.0,20.0,20.0,13.0,9.0
9,Washington,Mason,0.0,-2.0,6.0,1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-2.0,-1.0,-2.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,4.0,3.0,5.0,9.0,10.0,12.0,12.0,,,13.0,16.0,17.0,19.0,20.0,,,18.0,18.0,17.0,18.0,18.0,,,16.0,18.0,16.0,17.0,17.0,,,15.0,16.0,15.0,15.0,16.0,,,14.0,16.0,17.0,16.0,16.0,,
10,Washington,Stevens,,,4.0,0.0,-1.0,-1.0,-1.0,,,-1.0,0.0,0.0,-1.0,-2.0,,,0.0,0.0,0.0,0.0,-1.0,,,-1.0,0.0,-1.0,0.0,2.0,,,3.0,6.0,7.0,8.0,9.0,,,9.0,12.0,14.0,14.0,16.0,,,13.0,14.0,13.0,13.0,15.0,,,12.0,13.0,13.0,12.0,13.0,,,11.0,13.0,12.0,11.0,11.0,,,9.0,10.0,12.0,11.0,11.0,,
