,state,county,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20
1,Washington,Franklin,8.0,2.0,4.0,0.0,2.0,-3.0,11.0,2.0,8.0,1.0,-4.0,-2.0,3.0,10.0,4.0,2.0,1.0,-4.0,-2.0,-3.0,2.0,-2.0,0.0,-6.0,-7.0,-7.0,-8.0,-14.0,-16.0,-18.0,-22.0,-30.0,-29.0,-35.0,-36.0,-33.0,-44.0,-49.0,-48.0,-48.0,-50.0,-52.0,-52.0,-59.0,-54.0,-55.0,-55.0,-52.0,-52.0,-57.0,-59.0,-51.0,-51.0,-48.0,-54.0,-45.0,-44.0,-48.0,-39.0,-41.0,-42.0,-46.0,-39.0,-43.0,-51.0,-31.0,-41.0,-38.0,-42.0,-42.0,-42.0,-41.0
2,Washington,Jefferson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.0,,,,,,,-22.0,,,,,-51.0,-43.0,-63.0,-58.0,,,,-51.0,-52.0,-56.0,-58.0,,,,-46.0,-45.0,-44.0,-54.0,,,,,-29.0,-46.0,-37.0,,,,,-38.0,-31.0,-36.0
3,Washington,Benton,-2.0,10.0,-9.0,5.0,12.0,10.0,7.0,15.0,2.0,2.0,10.0,15.0,11.0,11.0,12.0,30.0,3.0,5.0,13.0,8.0,6.0,13.0,22.0,8.0,4.0,15.0,11.0,1.0,-15.0,2.0,-1.0,0.0,1.0,-7.0,-3.0,-4.0,4.0,-13.0,-19.0,-19.0,-22.0,-29.0,-26.0,-12.0,-25.0,-28.0,-25.0,-19.0,-25.0,-24.0,-8.0,-22.0,-23.0,-15.0,-19.0,-20.0,-20.0,-9.0,-17.0,-21.0,-20.0,-18.0,-19.0,-10.0,-1.0,-13.0,-18.0,-16.0,-20.0,-15.0,-15.0,10.0
4,Washington,Clark,-1.0,3.0,1.0,7.0,7.0,14.0,9.0,15.0,-7.0,5.0,7.0,9.0,13.0,11.0,-1.0,6.0,4.0,4.0,10.0,9.0,-4.0,-2.0,5.0,9.0,10.0,1.0,1.0,-12.0,-25.0,-18.0,-8.0,-18.0,-18.0,-20.0,-22.0,-21.0,-20.0,-32.0,-38.0,-37.0,-39.0,-46.0,-45.0,-38.0,-44.0,-40.0,-40.0,-43.0,-39.0,-38.0,-34.0,-32.0,-34.0,-34.0,-31.0,-35.0,-31.0,-43.0,-44.0,-44.0,-46.0,-46.0,-44.0,-52.0,-39.0,-42.0,-47.0,-51.0,-47.0,-48.0,-43.0,-35.0
5,Washington,Grant,5.0,12.0,-7.0,-5.0,17.0,7.0,37.0,15.0,,20.0,15.0,18.0,17.0,25.0,20.0,,27.0,21.0,22.0,20.0,16.0,13.0,,30.0,12.0,15.0,6.0,7.0,-10.0,6.0,10.0,3.0,-7.0,-28.0,1.0,-5.0,-22.0,-6.0,-24.0,-32.0,-46.0,-31.0,-43.0,-46.0,-39.0,-39.0,-37.0,-51.0,-37.0,-44.0,-40.0,-33.0,-41.0,-38.0,-40.0,-33.0,-44.0,-39.0,-25.0,-37.0,-19.0,-26.0,-19.0,-27.0,-26.0,-12.0,-20.0,-24.0,-27.0,-12.0,-20.0,-15.0
6,Washington,Adams,28.0,34.0,48.0,17.0,11.0,7.0,17.0,29.0,28.0,26.0,15.0,22.0,20.0,36.0,42.0,54.0,24.0,10.0,23.0,19.0,22.0,38.0,46.0,31.0,21.0,21.0,18.0,10.0,18.0,27.0,19.0,11.0,17.0,16.0,6.0,7.0,-6.0,-3.0,2.0,2.0,-11.0,-25.0,-19.0,-31.0,-12.0,-9.0,-7.0,-25.0,-16.0,-22.0,-15.0,-12.0,-12.0,-5.0,-19.0,-19.0,-17.0,-30.0,-8.0,-2.0,-1.0,-10.0,-14.0,-11.0,-14.0,-1.0,-8.0,-2.0,-16.0,-5.0,-3.0,-7.0
7,Washington,Douglas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-29.0,,,,,,,-39.0,,,,,,-42.0,-44.0,,,,,,-39.0,-37.0,,,-36.0,-40.0,-35.0,-36.0,-43.0,-45.0,,-31.0,-40.0,-39.0,-34.0,-37.0,-59.0,
8,Washington,Pierce,11.0,15.0,5.0,8.0,11.0,10.0,12.0,24.0,6.0,16.0,9.0,13.0,14.0,13.0,15.0,24.0,13.0,6.0,7.0,2.0,-1.0,7.0,13.0,2.0,-6.0,-6.0,-9.0,-16.0,-9.0,-2.0,-15.0,-23.0,-26.0,-30.0,-28.0,-21.0,-16.0,-35.0,-42.0,-42.0,-45.0,-46.0,-39.0,-31.0,-43.0,-45.0,-39.0,-43.0,-41.0,-31.0,-25.0,-35.0,-41.0,-39.0,-40.0,-36.0,-24.0,-9.0,-35.0,-38.0,-35.0,-34.0,-34.0,-27.0,-2.0,-33.0,-41.0,-46.0,-40.0,-38.0,-19.0,-4.0
9,Washington,Mason,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Washington,Stevens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
