,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
0,state,county,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20
1,Washington,Franklin,-1.0,-2.0,-39.0,2.0,0.0,-1.0,4.0,0.0,-3.0,3.0,3.0,3.0,2.0,3.0,0.0,0.0,4.0,3.0,1.0,1.0,0.0,4.0,-1.0,-12.0,3.0,-1.0,1.0,1.0,-3.0,-12.0,-5.0,-26.0,-30.0,-32.0,-33.0,-12.0,-22.0,-37.0,-41.0,-43.0,-47.0,-46.0,-24.0,-33.0,-47.0,-48.0,-50.0,-50.0,-48.0,-33.0,-34.0,-49.0,-51.0,-52.0,-52.0,-52.0,-34.0,-39.0,-46.0,-46.0,-47.0,-47.0,-45.0,-32.0,-31.0,-46.0,-45.0,-46.0,-46.0,-44.0,-25.0,-28.0
2,Washington,Jefferson,-3.0,0.0,-22.0,4.0,5.0,4.0,7.0,3.0,6.0,7.0,2.0,2.0,1.0,7.0,3.0,9.0,4.0,1.0,0.0,0.0,2.0,1.0,-2.0,3.0,2.0,-4.0,-4.0,-4.0,-3.0,-5.0,-7.0,-22.0,-28.0,-26.0,-26.0,-28.0,-29.0,-34.0,-40.0,-43.0,-49.0,-49.0,-42.0,-40.0,-45.0,-46.0,-46.0,-48.0,-47.0,-39.0,-42.0,-43.0,-48.0,-49.0,-46.0,-46.0,-38.0,-39.0,-41.0,-41.0,-44.0,-43.0,-41.0,-31.0,-36.0,-40.0,-40.0,-44.0,-42.0,-39.0,-29.0,-36.0
3,Washington,Benton,-1.0,-1.0,-38.0,2.0,1.0,0.0,1.0,0.0,-2.0,3.0,2.0,2.0,3.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,-4.0,1.0,0.0,-1.0,-1.0,0.0,-2.0,-3.0,-5.0,-12.0,-14.0,-28.0,-32.0,-34.0,-35.0,-21.0,-30.0,-42.0,-45.0,-48.0,-51.0,-48.0,-34.0,-39.0,-52.0,-54.0,-54.0,-54.0,-50.0,-36.0,-40.0,-53.0,-54.0,-55.0,-55.0,-52.0,-36.0,-44.0,-52.0,-52.0,-51.0,-51.0,-48.0,-33.0,-35.0,-50.0,-50.0,-51.0,-51.0,-46.0,-32.0,-35.0
4,Washington,Clark,-4.0,-1.0,-27.0,1.0,2.0,2.0,3.0,1.0,0.0,4.0,2.0,3.0,2.0,3.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,-1.0,-3.0,-12.0,-11.0,-21.0,-28.0,-31.0,-34.0,-35.0,-26.0,-31.0,-38.0,-44.0,-45.0,-48.0,-48.0,-38.0,-41.0,-50.0,-52.0,-51.0,-52.0,-51.0,-39.0,-41.0,-50.0,-51.0,-51.0,-51.0,-52.0,-38.0,-42.0,-48.0,-49.0,-49.0,-49.0,-47.0,-35.0,-37.0,-47.0,-49.0,-49.0,-48.0,-48.0,-33.0,-35.0
5,Washington,Grant,-3.0,-2.0,-36.0,-1.0,3.0,2.0,5.0,-1.0,-1.0,1.0,2.0,2.0,1.0,2.0,5.0,3.0,2.0,3.0,3.0,-1.0,0.0,2.0,-1.0,1.0,0.0,-1.0,-2.0,-3.0,-4.0,-8.0,-6.0,-23.0,-24.0,-28.0,-27.0,-8.0,-19.0,-33.0,-36.0,-38.0,-41.0,-39.0,-23.0,-29.0,-43.0,-42.0,-43.0,-44.0,-41.0,-25.0,-31.0,-44.0,-44.0,-44.0,-43.0,-40.0,-28.0,-30.0,-38.0,-39.0,-39.0,-38.0,-35.0,-18.0,-24.0,-37.0,-37.0,-38.0,-36.0,-35.0,-14.0,-22.0
6,Washington,Adams,-5.0,0.0,-37.0,-22.0,1.0,0.0,2.0,-5.0,-8.0,-1.0,3.0,0.0,0.0,0.0,-2.0,2.0,3.0,6.0,1.0,0.0,2.0,-2.0,4.0,1.0,0.0,1.0,2.0,-2.0,-17.0,-6.0,-2.0,-27.0,-30.0,-31.0,-31.0,-7.0,-19.0,-34.0,-35.0,-35.0,-38.0,-40.0,-22.0,-27.0,-36.0,-36.0,-41.0,-41.0,-39.0,-21.0,-31.0,-39.0,-43.0,-43.0,-44.0,-45.0,-31.0,-27.0,-33.0,-37.0,-38.0,-39.0,-38.0,-20.0,-25.0,-33.0,-36.0,-37.0,-37.0,-39.0,-22.0,-29.0
7,Washington,Douglas,-4.0,-5.0,-36.0,-1.0,-1.0,-2.0,0.0,-3.0,2.0,-1.0,2.0,-1.0,-2.0,0.0,2.0,-5.0,-1.0,-2.0,1.0,-2.0,-2.0,-4.0,-8.0,0.0,-1.0,0.0,-5.0,-15.0,-7.0,-13.0,-5.0,-21.0,-26.0,-28.0,-30.0,-26.0,-32.0,-32.0,-39.0,-42.0,-44.0,-43.0,-38.0,-40.0,-45.0,-45.0,-45.0,-48.0,-47.0,-40.0,-44.0,-44.0,-46.0,-44.0,-46.0,-49.0,-39.0,-44.0,-40.0,-42.0,-41.0,-41.0,-39.0,-34.0,-32.0,-37.0,-40.0,-39.0,-40.0,-40.0,-30.0,-33.0
8,Washington,Pierce,-3.0,-1.0,-33.0,-3.0,2.0,1.0,3.0,0.0,-1.0,4.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,-1.0,0.0,-3.0,-4.0,-5.0,-8.0,-5.0,-9.0,-18.0,-26.0,-29.0,-31.0,-32.0,-25.0,-29.0,-35.0,-40.0,-44.0,-50.0,-50.0,-39.0,-39.0,-51.0,-52.0,-52.0,-53.0,-51.0,-39.0,-39.0,-51.0,-52.0,-52.0,-52.0,-53.0,-39.0,-41.0,-50.0,-50.0,-49.0,-49.0,-48.0,-36.0,-36.0,-47.0,-48.0,-48.0,-48.0,-47.0,-35.0,-35.0
9,Washington,Mason,-2.0,-1.0,-40.0,-10.0,0.0,0.0,4.0,1.0,-2.0,4.0,3.0,3.0,0.0,3.0,7.0,1.0,6.0,3.0,3.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,-5.0,-5.0,-5.0,-18.0,-24.0,-29.0,-34.0,-32.0,-26.0,-31.0,-36.0,-41.0,-43.0,-47.0,-46.0,-37.0,-38.0,-47.0,-47.0,-48.0,-49.0,-48.0,-34.0,-38.0,-48.0,-48.0,-47.0,-49.0,-48.0,-33.0,-38.0,-43.0,-43.0,-43.0,-43.0,-43.0,-28.0,-29.0,-44.0,-42.0,-45.0,-44.0,-43.0,-28.0,-27.0
10,Washington,Stevens,3.0,2.0,-30.0,3.0,2.0,1.0,3.0,5.0,1.0,7.0,2.0,1.0,3.0,7.0,1.0,3.0,3.0,2.0,0.0,1.0,3.0,2.0,1.0,5.0,4.0,3.0,2.0,-3.0,-5.0,-8.0,-10.0,-19.0,-25.0,-27.0,-26.0,-19.0,-31.0,-26.0,-34.0,-40.0,-42.0,-38.0,-27.0,-33.0,-40.0,-41.0,-42.0,-40.0,-39.0,-31.0,-39.0,-38.0,-41.0,-42.0,-43.0,-39.0,-28.0,-40.0,-37.0,-37.0,-39.0,-38.0,-36.0,-24.0,-30.0,-34.0,-38.0,-40.0,-38.0,-36.0,-28.0,-32.0
11,Washington,Lewis,-7.0,-2.0,-31.0,-1.0,0.0,1.0,2.0,0.0,-1.0,4.0,0.0,0.0,1.0,1.0,-2.0,1.0,5.0,1.0,0.0,-3.0,-8.0,-1.0,1.0,5.0,0.0,0.0,0.0,-3.0,-4.0,-9.0,-11.0,-22.0,-26.0,-27.0,-28.0,-24.0,-28.0,-29.0,-35.0,-36.0,-41.0,-41.0,-33.0,-34.0,-39.0,-43.0,-42.0,-42.0,-44.0,-32.0,-35.0,-40.0,-43.0,-44.0,-44.0,-44.0,-30.0,-34.0,-37.0,-39.0,-39.0,-39.0,-38.0,-27.0,-32.0,-35.0,-38.0,-39.0,-38.0,-38.0,-29.0,-31.0
12,Washington,Thurston,-3.0,-1.0,-45.0,-6.0,1.0,1.0,2.0,0.0,0.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,0.0,0.0,-2.0,2.0,2.0,0.0,-1.0,-2.0,-4.0,-8.0,-6.0,-10.0,-23.0,-31.0,-37.0,-39.0,-40.0,-27.0,-29.0,-43.0,-47.0,-51.0,-56.0,-56.0,-40.0,-38.0,-57.0,-58.0,-58.0,-59.0,-57.0,-40.0,-40.0,-57.0,-59.0,-59.0,-59.0,-58.0,-39.0,-43.0,-56.0,-56.0,-55.0,-55.0,-54.0,-36.0,-36.0,-54.0,-55.0,-55.0,-55.0,-53.0,-37.0,-36.0
13,Washington,San Juan,-2.0,-2.0,-20.0,-8.0,-5.0,-6.0,-8.0,4.0,,7.0,7.0,0.0,5.0,-1.0,0.0,,5.0,4.0,4.0,2.0,4.0,0.0,-5.0,7.0,-1.0,0.0,-3.0,-5.0,-8.0,-7.0,-9.0,-21.0,-23.0,-26.0,-25.0,-27.0,-34.0,-30.0,-38.0,-38.0,-46.0,-47.0,-43.0,-45.0,-41.0,-46.0,-47.0,-50.0,-52.0,-45.0,-52.0,-40.0,-47.0,-50.0,-48.0,-47.0,-39.0,-48.0,-43.0,-44.0,-40.0,-43.0,-44.0,-38.0,-41.0,-37.0,-40.0,-45.0,-41.0,-43.0,-40.0,-36.0
14,Washington,Asotin,0.0,-1.0,-29.0,3.0,4.0,2.0,4.0,7.0,-1.0,5.0,3.0,2.0,3.0,2.0,6.0,6.0,3.0,2.0,3.0,0.0,-1.0,5.0,5.0,4.0,4.0,3.0,-1.0,-1.0,2.0,0.0,0.0,-16.0,-23.0,-25.0,-26.0,-12.0,-22.0,-28.0,-30.0,-35.0,-42.0,-41.0,-31.0,-31.0,-41.0,-42.0,-46.0,-47.0,-43.0,-31.0,-22.0,-40.0,-40.0,-43.0,-43.0,-42.0,-29.0,-33.0,-38.0,-37.0,-40.0,-38.0,-38.0,-24.0,-18.0,-34.0,-38.0,-39.0,-39.0,-39.0,-22.0,-22.0
15,Washington,Chelan,-4.0,1.0,-29.0,0.0,2.0,0.0,0.0,-1.0,0.0,4.0,1.0,4.0,2.0,0.0,-3.0,1.0,4.0,3.0,-2.0,-2.0,-3.0,-5.0,-4.0,2.0,1.0,1.0,-5.0,-13.0,-10.0,-10.0,-4.0,-22.0,-26.0,-28.0,-32.0,-26.0,-34.0,-31.0,-39.0,-39.0,-46.0,-47.0,-43.0,-43.0,-44.0,-46.0,-46.0,-49.0,-49.0,-44.0,-42.0,-43.0,-47.0,-46.0,-48.0,-50.0,-45.0,-43.0,-42.0,-44.0,-42.0,-46.0,-44.0,-41.0,-38.0,-38.0,-42.0,-42.0,-43.0,-43.0,-40.0,-38.0
16,Washington,Clallam,-2.0,1.0,-30.0,1.0,2.0,2.0,2.0,0.0,3.0,11.0,2.0,3.0,1.0,2.0,2.0,6.0,8.0,2.0,2.0,1.0,0.0,4.0,2.0,7.0,1.0,1.0,-1.0,-4.0,-3.0,-3.0,-4.0,-22.0,-24.0,-28.0,-29.0,-23.0,-26.0,-28.0,-37.0,-39.0,-44.0,-44.0,-33.0,-35.0,-41.0,-45.0,-46.0,-47.0,-45.0,-38.0,-38.0,-40.0,-44.0,-44.0,-46.0,-44.0,-34.0,-38.0,-36.0,-41.0,-41.0,-43.0,-42.0,-32.0,-37.0,-36.0,-43.0,-42.0,-42.0,-41.0,-34.0,-34.0
17,Washington,Cowlitz,-3.0,0.0,-25.0,2.0,3.0,5.0,3.0,0.0,0.0,4.0,5.0,4.0,3.0,3.0,0.0,0.0,3.0,4.0,3.0,3.0,3.0,0.0,-1.0,2.0,3.0,2.0,1.0,-7.0,-6.0,-6.0,-15.0,-20.0,-24.0,-26.0,-27.0,-22.0,-28.0,-28.0,-32.0,-36.0,-39.0,-39.0,-29.0,-35.0,-39.0,-39.0,-40.0,-40.0,-40.0,-31.0,-35.0,-40.0,-41.0,-41.0,-41.0,-43.0,-32.0,-31.0,-38.0,-37.0,-37.0,-37.0,-37.0,-26.0,-27.0,-36.0,-37.0,-38.0,-38.0,-37.0,-24.0,-29.0
18,Washington,Grays Harbor,-3.0,0.0,-34.0,-5.0,4.0,1.0,1.0,-2.0,2.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,-1.0,-1.0,2.0,2.0,-2.0,-1.0,1.0,-2.0,-6.0,-4.0,-7.0,-11.0,-24.0,-28.0,-31.0,-30.0,-24.0,-28.0,-34.0,-38.0,-39.0,-47.0,-45.0,-39.0,-37.0,-45.0,-44.0,-44.0,-48.0,-46.0,-38.0,-40.0,-46.0,-45.0,-46.0,-47.0,-48.0,-39.0,-38.0,-43.0,-44.0,-42.0,-43.0,-43.0,-34.0,-34.0,-42.0,-42.0,-42.0,-43.0,-43.0,-35.0,-32.0
19,Washington,Island,-4.0,-2.0,-35.0,1.0,3.0,3.0,4.0,3.0,2.0,4.0,1.0,3.0,3.0,4.0,0.0,0.0,-1.0,0.0,2.0,-1.0,1.0,-2.0,2.0,1.0,-3.0,-3.0,-7.0,-7.0,-6.0,-12.0,-13.0,-28.0,-31.0,-35.0,-34.0,-27.0,-32.0,-39.0,-44.0,-47.0,-51.0,-50.0,-38.0,-42.0,-50.0,-52.0,-51.0,-53.0,-51.0,-39.0,-40.0,-51.0,-53.0,-52.0,-53.0,-52.0,-40.0,-44.0,-49.0,-50.0,-48.0,-49.0,-47.0,-37.0,-37.0,-47.0,-47.0,-48.0,-47.0,-45.0,-33.0,-35.0
20,Washington,King,-3.0,-2.0,-40.0,-8.0,-7.0,-6.0,-7.0,-1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,-5.0,-8.0,-16.0,-22.0,-5.0,-6.0,-25.0,-27.0,-27.0,-32.0,-37.0,-13.0,-15.0,-45.0,-51.0,-53.0,-55.0,-55.0,-36.0,-38.0,-58.0,-62.0,-65.0,-68.0,-68.0,-48.0,-47.0,-69.0,-70.0,-70.0,-70.0,-69.0,-48.0,-48.0,-69.0,-70.0,-70.0,-70.0,-70.0,-48.0,-49.0,-68.0,-68.0,-68.0,-68.0,-67.0,-45.0,-44.0,-67.0,-67.0,-67.0,-67.0,-66.0,-45.0,-44.0
21,Washington,Kitsap,-6.0,-4.0,-43.0,-2.0,0.0,0.0,2.0,1.0,2.0,4.0,3.0,4.0,3.0,4.0,1.0,2.0,4.0,2.0,2.0,0.0,0.0,1.0,-3.0,-1.0,-2.0,-2.0,-5.0,-5.0,-7.0,-9.0,-21.0,-28.0,-31.0,-35.0,-36.0,-32.0,-35.0,-41.0,-46.0,-49.0,-53.0,-52.0,-42.0,-43.0,-53.0,-53.0,-52.0,-53.0,-50.0,-39.0,-40.0,-51.0,-52.0,-52.0,-53.0,-52.0,-39.0,-43.0,-49.0,-49.0,-48.0,-49.0,-47.0,-35.0,-34.0,-47.0,-49.0,-49.0,-49.0,-46.0,-33.0,-35.0
22,Washington,Kittitas,-8.0,-3.0,-39.0,2.0,3.0,2.0,2.0,1.0,6.0,9.0,4.0,4.0,5.0,4.0,1.0,11.0,10.0,-10.0,-10.0,-9.0,-10.0,-10.0,-4.0,-6.0,-12.0,-12.0,-13.0,-14.0,-15.0,-15.0,-29.0,-39.0,-42.0,-47.0,-45.0,-35.0,-42.0,-49.0,-56.0,-59.0,-59.0,-58.0,-43.0,-45.0,-57.0,-59.0,-58.0,-58.0,-55.0,-45.0,-42.0,-55.0,-57.0,-58.0,-59.0,-54.0,-47.0,-48.0,-53.0,-56.0,-54.0,-55.0,-51.0,-36.0,-39.0,-49.0,-55.0,-56.0,-54.0,-51.0,-38.0,-40.0
23,Washington,Klickitat,-7.0,2.0,-35.0,-2.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,6.0,6.0,9.0,4.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,-1.0,2.0,4.0,1.0,3.0,-7.0,-2.0,-13.0,-23.0,-25.0,-25.0,-28.0,-19.0,-27.0,-33.0,-37.0,-39.0,-41.0,-39.0,-33.0,-36.0,-44.0,-43.0,-42.0,-41.0,-40.0,-36.0,-36.0,-41.0,-40.0,-39.0,-41.0,-42.0,-34.0,-41.0,-39.0,-38.0,-38.0,-37.0,-39.0,-35.0,-35.0,-36.0,-38.0,-39.0,-38.0,-38.0,-22.0,-31.0
24,Washington,Okanogan,-3.0,5.0,-35.0,0.0,1.0,0.0,-1.0,2.0,3.0,2.0,0.0,0.0,-2.0,3.0,-3.0,4.0,1.0,-1.0,0.0,-7.0,-5.0,-1.0,5.0,2.0,-1.0,1.0,-1.0,-10.0,0.0,-9.0,-5.0,-21.0,-23.0,-29.0,-27.0,-25.0,-33.0,-27.0,-31.0,-37.0,-40.0,-39.0,-29.0,-37.0,-38.0,-40.0,-38.0,-40.0,-40.0,-31.0,-31.0,-38.0,-42.0,-43.0,-42.0,-43.0,-36.0,-36.0,-35.0,-40.0,-38.0,-35.0,-36.0,-28.0,-29.0,-33.0,-36.0,-38.0,-36.0,-37.0,-29.0,-30.0
25,Washington,Pacific,-5.0,0.0,-26.0,4.0,4.0,5.0,5.0,-1.0,0.0,4.0,1.0,0.0,-1.0,2.0,-5.0,0.0,1.0,-1.0,-2.0,-4.0,-1.0,0.0,0.0,4.0,3.0,1.0,0.0,2.0,-3.0,-6.0,-9.0,-19.0,-25.0,-25.0,-22.0,-20.0,-27.0,-30.0,-35.0,-38.0,-41.0,-37.0,-33.0,-41.0,-39.0,-38.0,-39.0,-42.0,-41.0,-37.0,-40.0,-39.0,-39.0,-41.0,-40.0,-41.0,-33.0,-39.0,-37.0,-38.0,-37.0,-35.0,-37.0,-34.0,-36.0,-34.0,-35.0,-38.0,-37.0,-35.0,-30.0,-33.0
26,Washington,Skagit,-3.0,-2.0,-24.0,1.0,1.0,2.0,3.0,-1.0,-1.0,7.0,2.0,3.0,2.0,4.0,2.0,2.0,8.0,2.0,2.0,0.0,0.0,2.0,1.0,7.0,-1.0,-3.0,-4.0,-4.0,-3.0,-5.0,-4.0,-24.0,-27.0,-30.0,-30.0,-24.0,-30.0,-30.0,-39.0,-42.0,-49.0,-47.0,-41.0,-42.0,-46.0,-50.0,-50.0,-51.0,-49.0,-40.0,-42.0,-46.0,-51.0,-51.0,-51.0,-50.0,-41.0,-45.0,-43.0,-46.0,-46.0,-47.0,-46.0,-36.0,-36.0,-41.0,-45.0,-47.0,-46.0,-44.0,-36.0,-36.0
27,Washington,Skamania,,,-29.0,2.0,4.0,3.0,1.0,,,7.0,3.0,-1.0,1.0,6.0,,,2.0,-1.0,4.0,4.0,3.0,,,-2.0,0.0,-1.0,4.0,-3.0,,,-17.0,-23.0,-31.0,-27.0,-36.0,,,-42.0,-43.0,-42.0,-42.0,-47.0,-40.0,,-47.0,-50.0,-48.0,-48.0,-51.0,-45.0,,-48.0,-51.0,-50.0,-48.0,-51.0,-45.0,,-43.0,-50.0,-45.0,-44.0,-44.0,-38.0,,-45.0,-46.0,-45.0,-45.0,-46.0,-38.0,
28,Washington,Snohomish,-3.0,0.0,-29.0,-6.0,-2.0,-1.0,-1.0,0.0,0.0,8.0,2.0,2.0,2.0,2.0,1.0,2.0,5.0,-3.0,-3.0,-7.0,-9.0,-2.0,-4.0,-6.0,-14.0,-13.0,-16.0,-21.0,-7.0,-11.0,-25.0,-36.0,-38.0,-40.0,-41.0,-29.0,-33.0,-42.0,-49.0,-54.0,-59.0,-59.0,-44.0,-45.0,-57.0,-61.0,-61.0,-62.0,-60.0,-44.0,-45.0,-58.0,-61.0,-61.0,-61.0,-60.0,-44.0,-47.0,-56.0,-58.0,-58.0,-58.0,-57.0,-42.0,-41.0,-54.0,-55.0,-55.0,-55.0,-54.0,-41.0,-39.0
29,Washington,Spokane,-1.0,1.0,-28.0,1.0,2.0,0.0,-3.0,2.0,3.0,5.0,2.0,4.0,2.0,3.0,2.0,4.0,5.0,2.0,3.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,-2.0,-3.0,-7.0,-7.0,-11.0,-27.0,-30.0,-33.0,-33.0,-25.0,-29.0,-35.0,-40.0,-43.0,-48.0,-48.0,-37.0,-38.0,-48.0,-50.0,-49.0,-51.0,-49.0,-38.0,-39.0,-48.0,-51.0,-50.0,-51.0,-51.0,-36.0,-41.0,-46.0,-48.0,-47.0,-47.0,-47.0,-33.0,-33.0,-44.0,-46.0,-46.0,-47.0,-46.0,-33.0,-31.0
30,Washington,Walla Walla,-1.0,1.0,-35.0,1.0,1.0,2.0,1.0,6.0,2.0,2.0,2.0,1.0,3.0,3.0,6.0,7.0,4.0,2.0,1.0,0.0,-1.0,6.0,7.0,3.0,3.0,2.0,1.0,-1.0,-7.0,-9.0,-8.0,-21.0,-24.0,-28.0,-29.0,-22.0,-30.0,-33.0,-38.0,-40.0,-43.0,-44.0,-37.0,-40.0,-44.0,-44.0,-43.0,-45.0,-44.0,-39.0,-39.0,-45.0,-45.0,-44.0,-46.0,-48.0,-39.0,-41.0,-40.0,-42.0,-43.0,-43.0,-43.0,-33.0,-34.0,-41.0,-43.0,-42.0,-43.0,-42.0,-33.0,-31.0
